"","X","iid","famid","devnt","logexp","race","w","pctsmom","magebir","nfamtran","medu","inc1000","nosibs","age"
"1",4,2,2,0,2.7726,"White",0.341,-0.126,12.401,-0.538,-6.457,0.0653,4.7936,"[12,16)"
"2",5,2,2,0,0.6931,"White",0.341,-0.126,12.401,-0.538,-6.457,0.0653,4.7936,"[16,18)"
"3",3,2,2,0,0.6931,"White",0.341,-0.126,12.401,-0.538,-6.457,0.0653,4.7936,"[18,20)"
"4",2,2,2,0,0.6931,"White",0.341,-0.126,12.401,-0.538,-6.457,0.0653,4.7936,"[20,22)"
"5",1,2,2,0,0.6931,"White",0.341,-0.126,12.401,-0.538,-6.457,0.0653,4.7936,"[22,24)"
"6",6,2,2,0,2.2246,"White",0.341,-0.126,12.401,-0.538,-6.457,0.0653,4.7936,"[24,36)"
"7",8,3,4584,0,2.7726,"White",0.54,-0.074,-5.599,1.462,-1.457,0.1722,-1.2064,"[12,16)"
"8",9,3,4584,0,0.6931,"White",0.54,-0.074,-5.599,1.462,-1.457,0.1722,-1.2064,"[16,18)"
"9",7,3,4584,0,0.157,"White",0.54,-0.074,-5.599,1.462,-1.457,0.1722,-1.2064,"[18,20)"
"10",11,4,4584,0,2.7726,"White",0.425,-0.126,-4.599,-0.538,-0.457,0.1722,-0.2064,"[12,16)"
"11",10,4,4584,0,0.6931,"White",0.425,-0.126,-4.599,-0.538,-0.457,0.1722,-0.2064,"[16,18)"
"12",12,8,3,0,2.7726,"White",0.26,-0.126,11.984,-0.538,-2.457,-0.4118,4.7936,"[12,16)"
"13",13,8,3,0,0.2852,"White",0.26,-0.126,11.984,-0.538,-2.457,-0.4118,4.7936,"[16,18)"
"14",17,10,4,0,2.7726,"White",0.5,0.4,-1.016,0.462,0.543,-0.6243,-0.2064,"[12,16)"
"15",14,10,4,0,0.6931,"White",0.5,0.4,-1.016,0.462,0.543,-0.6243,-0.2064,"[16,18)"
"16",16,10,4,0,0.6931,"White",0.5,0.4,-1.016,0.462,0.543,-0.6243,-0.2064,"[18,20)"
"17",15,10,4,0,0.6043,"White",0.5,0.4,-1.016,0.462,0.543,-0.6243,-0.2064,"[20,22)"
"18",19,12,5,0,2.7726,"White",0.352,-0.126,-0.266,-0.538,3.543,0.6143,0.7936,"[12,16)"
"19",22,12,5,0,0.6931,"White",0.352,-0.126,-0.266,-0.538,3.543,0.6143,0.7936,"[16,18)"
"20",18,12,5,0,0.6931,"White",0.352,-0.126,-0.266,-0.538,3.543,0.6143,0.7936,"[18,20)"
"21",23,12,5,0,0.6931,"White",0.352,-0.126,-0.266,-0.538,3.543,0.6143,0.7936,"[20,22)"
"22",21,12,5,0,0.6931,"White",0.352,-0.126,-0.266,-0.538,3.543,0.6143,0.7936,"[22,24)"
"23",20,12,5,1,1.805,"White",0.352,-0.126,-0.266,-0.538,3.543,0.6143,0.7936,"[24,36)"
